Filename,Grammatical Error Percentage,Readability Score,Average Sentence Length,Repetitive Words Count,Repetitive Words List (limited),Repetitive Words List (full),AI Content Percentage,Generic Content Percentage
Annie Hall.pdf,97.52,87.01,8.808281708509945,1311,"annie: 644, hall: 35, woody: 2, allen: 2, marshall: 5, script: 2, sound: 6, monologue: 3, begin: 3, fade: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Annie Hall.pdf_repetitive_words_full_list.txt,34.57,0.17
Annihilation.pdf,86.83,88.63,6.812094395280236,1395,"annihilation: 4, open: 29, outer: 3, space: 7, blackness: 2, stars: 11, lump: 2, rock: 10, moving: 13, leaving: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Annihilation.pdf_repetitive_words_full_list.txt,34.91,0.09
Antichrist.pdf,90.27,87.72,8.205794631444396,1055,"script: 2, antichrist: 77, page: 71, scene: 151, apartment: 18, evening: 12, legend: 6, montage: 10, stationary: 44, shots: 20...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Antichrist.pdf_repetitive_words_full_list.txt,34.8,0.14
Apocalypse Now Redux.pdf,97.41,87.62,8.043043599000278,1545,"apocalypse: 2, written: 2, fade: 6, simple: 2, trees: 14, time: 27, dream: 2, occasionally: 4, colored: 4, smoke: 28...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Apocalypse Now Redux.pdf_repetitive_words_full_list.txt,34.74,0.12
Apocalypse-Now script.pdf,86.88,85.59,10.636491228070176,1662,"heart: 2, darkness: 11, draft: 2, december: 3, primeval: 2, swamp: 6, early: 4, dawn: 5, blue: 9, light: 29...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Apocalypse-Now script.pdf_repetitive_words_full_list.txt,34.88,0.17
Argo.pdf,87.03,78.75,8.269415807560138,1463,"argo: 64, events: 2, march: 4, house: 43, bathroom: 5, stall: 6, knowles: 22, late: 22, face: 13, mouth: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Argo.pdf_repetitive_words_full_list.txt,34.91,0.09
Arrested Development Pilot.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Arrested Development Pilot.pdf_repetitive_words_full_list.txt,66.67,0
Arrival.pdf,11.54,56.59,23.0,1,story: 2...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Arrival.pdf_repetitive_words_full_list.txt,34.62,0.0
As Good As It Gets.pdf,95.28,87.52,9.344949272165858,1136,"good: 37, gets: 15, andrus: 2, story: 7, mark: 2, fade: 3, apartment: 82, building: 26, york: 21, hallway: 18...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\As Good As It Gets.pdf_repetitive_words_full_list.txt,34.79,0.18
August Osage County.pdf,85.24,87.82,8.420840336134454,1250,"best: 5, writing: 2, tracy: 2, letts: 2, august: 140, osage: 2, county: 2, written: 2, yellow: 3, pink: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\August Osage County.pdf_repetitive_words_full_list.txt,34.58,0.14
Baby Driver.pdf,95.6,88.13,7.4205391527599485,1632,"franklin: 118, latt: 118, baby: 936, driver: 21, written: 3, working: 8, title: 4, films: 4, talk: 9, street: 27...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Baby Driver.pdf_repetitive_words_full_list.txt,34.83,0.09
Back to the Future script.pdf,76.75,87.21,8.043478260869565,12,"continued: 2, brown: 7, back: 3, delorean: 4, marty: 3, something: 2, turn: 2, jennifer: 2, kids: 2, gets: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Back to the Future script.pdf_repetitive_words_full_list.txt,68.42,0.0
Back To The Future.pdf,92.44,87.21,9.548906789413119,1422,"back: 71, future: 28, written: 2, revised: 2, pink: 2, revisions: 3, obviously: 2, sheets: 2, typical: 2, pages: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Back To The Future.pdf_repetitive_words_full_list.txt,34.83,0.1
Bad Boys.pdf,91.34,87.92,7.475484606613455,1451,"pink: 2, yellow: 3, green: 3, boys: 103, revised: 2, draft: 2, blue: 2, miami: 26, landscape: 2, night: 102...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Bad Boys.pdf_repetitive_words_full_list.txt,34.81,0.09
Badlands.pdf,98.23,95.37,8.211405529953916,850,"badlands: 15, fade: 2, bedroom: 12, time: 14, holly: 354, sargis: 2, sits: 18, camera: 17, dollies: 7, back: 77...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Badlands.pdf_repetitive_words_full_list.txt,34.95,0.15
Barton Fink.pdf,91.22,87.52,6.603951636685344,1223,"barton: 678, fink: 65, coen: 2, fade: 19, bespectacled: 2, somewhat: 2, stands: 17, tuxedoed: 3, wings: 2, theater: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Barton Fink.pdf_repetitive_words_full_list.txt,34.84,0.12
Batman Begins.pdf,89.58,87.62,8.387839433293978,1708,"batman: 241, begins: 2, black: 31, becomes: 3, screeching: 5, builds: 2, flickers: 3, screen: 6, bursts: 4, life: 14...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Batman Begins.pdf_repetitive_words_full_list.txt,34.88,0.1
Battlestar Galactica Pilot.pdf,84.7,78.04,9.473944465576265,1481,"super: 12, cylons: 28, created: 2, space: 67, armistice: 17, station: 28, tiny: 5, hangs: 3, deep: 8, void: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Battlestar Galactica Pilot.pdf_repetitive_words_full_list.txt,34.95,0.13
Before Sunrise.pdf,94.87,85.08,10.537414965986395,832,"sunrise: 2, fade: 2, train: 32, afternoon: 9, eurail: 3, rolls: 2, along: 9, inside: 5, sleep: 5, read: 6...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Before Sunrise.pdf_repetitive_words_full_list.txt,34.77,0.23
Before Sunset.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Before Sunset.pdf_repetitive_words_full_list.txt,66.67,0
Being John Malcovich.pdf,97.32,88.94,6.808241940844134,1164,"john: 33, malkovich: 330, room: 61, bare: 2, dusty: 3, ceiling: 2, turns: 16, wall: 8, clock: 6, ticks: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Being John Malcovich.pdf_repetitive_words_full_list.txt,34.81,0.1
Big Fish.pdf,95.13,87.42,8.396776193428394,1486,"fish: 150, written: 3, final: 127, pictures: 3, story: 32, full: 6, lies: 10, river: 29, underwater: 7, watching: 13...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Big Fish.pdf_repetitive_words_full_list.txt,34.76,0.11
Billions Pilot.pdf,94.36,87.42,8.518120045300114,925,"billions: 94, written: 3, david: 3, andrew: 2, fully: 93, collated: 93, yellow: 94, revisions: 99, pink: 2, blue: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Billions Pilot.pdf_repetitive_words_full_list.txt,34.9,0.08
Birdman.pdf,97.36,88.74,6.80351728320194,1137,"best: 3, original: 3, screenplay: 2, written: 6, alejandro: 2, iñárritu: 2, nicolás: 2, giacobone: 2, alexander: 2, dinelaris: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Birdman.pdf_repetitive_words_full_list.txt,34.62,0.05
Black Swan.pdf,80.91,88.23,7.378171566653242,1132,"black: 37, swan: 66, mark: 2, andres: 2, heinz: 2, story: 2, white: 23, november: 3, revisions: 5, pink: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Black Swan.pdf_repetitive_words_full_list.txt,34.92,0.1
Blade Runner.pdf,96.69,86.6,8.976172465960666,1334,"blade: 4, runner: 5, story: 2, androids: 4, dream: 4, electric: 2, tyrell: 103, corporation: 10, room: 51, magnified: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Blade Runner.pdf_repetitive_words_full_list.txt,34.9,0.13
Blue Jasmine.pdf,97.82,55.07,31.30144927536232,851,"sony: 2, pictures: 5, classics: 2, association: 3, productions: 5, production: 25, blue: 20, jasmine: 95, written: 7, directed: 15...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Blue Jasmine.pdf_repetitive_words_full_list.txt,2.11,0.27
Blue Velvet.pdf,94.97,88.23,6.910299003322259,517,"blue: 11, velvet: 3, screenplay: 2, fade: 3, slowly: 14, dissolve: 12, beaumonts: 19, front: 23, lawn: 9, clean: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Blue Velvet.pdf_repetitive_words_full_list.txt,35.0,0.46
Boardwalk Empire Pilot.pdf,74.93,86.91,8.644536652835408,843,"boardwalk: 25, winter: 4, first: 9, draft: 2, atlantic: 23, ocean: 9, night: 41, softly: 2, distance: 3, fishing: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Boardwalk Empire Pilot.pdf_repetitive_words_full_list.txt,35.09,0.15
Bonnie and Clyde.pdf,95.71,86.5,8.032106282867423,1570,"bonnie: 574, clyde: 706, fade: 6, bedroom: 20, parker: 13, somewhat: 4, fragile: 3, expression: 5, putting: 2, intense: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Bonnie and Clyde.pdf_repetitive_words_full_list.txt,34.75,0.15
Boogie Nights.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Boogie Nights.pdf_repetitive_words_full_list.txt,66.67,0
Bottle Rocket.pdf,88.44,89.55,5.888195063931014,970,"bottle: 7, alley: 15, anthony: 684, dignan: 855, walk: 22, behind: 18, store: 6, nineteen: 3, jacket: 4, twenty: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Bottle Rocket.pdf_repetitive_words_full_list.txt,34.62,0.09
Breaking Bad Pilot.pdf,89.1,88.53,7.043850267379679,936,"sony: 2, television: 2, teaser: 8, pasture: 10, deep: 10, blue: 5, overhead: 2, clouds: 3, black: 9, white: 42...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Breaking Bad Pilot.pdf_repetitive_words_full_list.txt,35.14,0.1
Brick.pdf,96.54,87.62,8.07715582450832,1213,"brick: 19, shooting: 4, script: 2, main: 2, grimy: 2, concrete: 7, wall: 20, creeping: 2, runoff: 9, tunnel: 24...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Brick.pdf_repetitive_words_full_list.txt,34.85,0.15
Bridesmaids.pdf,95.02,88.53,7.107155445893549,1092,"producer: 4, judd: 3, annie: 740, mumolo: 2, kristen: 2, wiig: 2, bridesmaids: 10, material: 3, happy: 17, owned: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Bridesmaids.pdf_repetitive_words_full_list.txt,34.68,0.21
Bright.pdf,96.02,89.24,6.808752584424535,1238,"bright: 25, david: 2, ayer: 2, blue: 5, lights: 4, dark: 18, streets: 4, recognize: 2, magic: 15, familiar: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Bright.pdf_repetitive_words_full_list.txt,34.92,0.08
Broadcast News script.pdf,93.37,86.71,9.600270544470748,1465,"broadcast: 7, news: 76, fade: 7, city: 4, street: 18, restaurant: 7, truck: 4, near: 7, small: 17, gerald: 11...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Broadcast News script.pdf_repetitive_words_full_list.txt,34.74,0.18
Broadcast News.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Broadcast News.pdf_repetitive_words_full_list.txt,66.67,0
Brokeback Mountain.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Brokeback Mountain.pdf_repetitive_words_full_list.txt,66.67,0
Burried.pdf,93.27,87.82,7.606459838504038,989,"buried: 19, washington: 2, blvd: 2, floor: 12, city: 7, united: 4, fade: 7, room: 11, night: 3, darkness: 10...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Burried.pdf_repetitive_words_full_list.txt,34.77,0.19
Butch Cassidy and the Sundance Kid script.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Butch Cassidy and the Sundance Kid script.pdf_repetitive_words_full_list.txt,66.67,0
Butch Cassidy And The Sundance Kid.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Butch Cassidy And The Sundance Kid.pdf_repetitive_words_full_list.txt,66.67,0
Cabin in The Woods.pdf,98.22,85.18,10.731463878326997,1223,"cabin: 32, morning: 3, sitterson: 138, white: 5, collar: 2, getting: 13, coffee: 5, hadley: 125, handsome: 2, sweet: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Cabin in The Woods.pdf_repetitive_words_full_list.txt,34.79,0.12
Californication Pilot.pdf,92.98,97.6,6.284,512,"pilot: 2, kapinos: 2, fade: 2, church: 2, birds: 2, short: 2, fine: 5, dirty: 4, black: 5, porsche: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Californication Pilot.pdf_repetitive_words_full_list.txt,34.99,0.15
Captain Fantastic.pdf,83.24,87.92,6.293497892835641,1250,"captain: 2, fantastic: 2, april: 3, electric: 2, city: 5, pictures: 3, washington: 5, state: 4, olympic: 5, peninsula: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Captain Fantastic.pdf_repetitive_words_full_list.txt,34.9,0.18
Casablanca script.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Casablanca script.pdf_repetitive_words_full_list.txt,66.67,0
Charade.pdf,95.41,86.2,9.561262376237623,1468,"written: 3, peter: 167, stone: 4, story: 4, fade: 3, titles: 2, french: 15, countryside: 2, dusk: 4, silence: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Charade.pdf_repetitive_words_full_list.txt,34.63,0.15
Children of Men.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Children of Men.pdf_repetitive_words_full_list.txt,66.67,0
ChinaTown script.pdf,97.12,87.82,8.278163197885695,1437,"chinatown: 13, robert: 3, full: 4, screen: 4, photograph: 3, unmistakably: 2, woman: 22, making: 8, love: 5, shakes: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\ChinaTown script.pdf_repetitive_words_full_list.txt,34.87,0.14
Chinatown.pdf,97.2,87.82,8.303618421052631,1442,"chinatown: 13, robert: 3, full: 4, screen: 4, photograph: 3, unmistakably: 2, woman: 22, making: 8, love: 5, shakes: 7...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Chinatown.pdf_repetitive_words_full_list.txt,34.87,0.14
Chronicle.pdf,96.38,85.89,8.152542372881356,1073,"chronicle: 2, landis: 2, story: 2, andrew: 533, first: 16, camera: 201, time: 17, within: 4, scene: 5, detmer: 76...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Chronicle.pdf_repetitive_words_full_list.txt,34.75,0.24
Citizen Kane script.pdf,96.8,84.88,11.971710974778459,1815,"kane: 878, prologue: 2, fade: 18, xanadu: 32, faint: 3, dawn: 13, miniature: 14, window: 52, small: 9, illuminated: 3...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Citizen Kane script.pdf_repetitive_words_full_list.txt,34.74,0.35
Citizen Kane.pdf,96.77,84.98,11.435656401944895,1815,"kane: 878, written: 6, prologue: 2, fade: 18, xanadu: 32, faint: 3, dawn: 13, miniature: 14, window: 52, small: 9...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Citizen Kane.pdf_repetitive_words_full_list.txt,34.73,0.34
Clerks.pdf,96.06,88.33,7.551564905079528,1438,"ostensibly: 3, first: 15, bedroom: 7, morning: 18, hours: 7, made: 12, shelf: 2, books: 3, holds: 11, dante: 957...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Clerks.pdf_repetitive_words_full_list.txt,34.57,0.14
Contact.pdf,87.52,77.13,10.530583214793742,1967,"contact: 10, carl: 2, sagan: 2, michael: 7, goldenberg: 2, based: 2, universe: 18, eight: 3, billion: 5, light: 42...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Contact.pdf_repetitive_words_full_list.txt,35.11,0.16
Cool Hand Luke.pdf,98.22,86.6,9.392516227567773,1387,"cool: 14, hand: 27, luke: 544, donn: 2, pearce: 2, shooting: 3, draft: 2, fade: 2, street: 3, closeup: 8...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Cool Hand Luke.pdf_repetitive_words_full_list.txt,34.85,0.06
Crash.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Crash.pdf_repetitive_words_full_list.txt,66.67,0
"Crazy, Stupid, Love.pdf",97.59,88.43,7.544773578481443,1037,"crazy: 6, stupid: 5, love: 45, fogelman: 2, warner: 3, pictures: 5, fade: 2, french: 3, restaurant: 6, pasadena: 2...","C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Crazy, Stupid, Love.pdf_repetitive_words_full_list.txt",34.5,0.17
Dallas Buyers Club.pdf,95.95,86.91,9.724611973392461,1234,"dallas: 212, buyers: 161, club: 165, green: 116, fifth: 3, revision: 114, white: 8, first: 13, blue: 6, second: 4...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Dallas Buyers Club.pdf_repetitive_words_full_list.txt,34.86,0.11
Days of Heaven.pdf,96.75,95.67,8.2979375696767,1726,"days: 10, heaven: 5, written: 2, setting: 4, story: 4, texas: 4, first: 32, world: 17, cast: 3, characters: 2...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Days of Heaven.pdf_repetitive_words_full_list.txt,34.93,0.12
Dazed and Confused.pdf,94.02,85.59,11.049053356282272,1167,"dazed: 2, confused: 4, lead: 5, senior: 20, randy: 6, floyd: 8, runs: 8, poker: 11, group: 15, acts: 5...",C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Dazed and Confused.pdf_repetitive_words_full_list.txt,34.57,0.11
Death Proof.pdf,0,206.84,0,0,...,C:\Users\Shaurya\Desktop\Metrics Generation Project\Dataset\Scripts\Death Proof.pdf_repetitive_words_full_list.txt,66.67,0
